uid,oid,height,width,ocr
paschalis,31,28.252319335938,122.76303100586,
paschalis,32,77.32275390625,88.192810058594,
paschalis,32,109.51467895508,68.448852539062,
paschalis,31,30.507598876953,105.58720397949,
paschalis,32,75.715408325195,86.26806640625,
paschalis,32,85.793243408203,70.748199462891,
paschalis,31,26.298126220703,92.979522705078,
paschalis,32,63.372222900391,76.765686035156,
paschalis,31,26.931213378906,111.27290344238,
paschalis,32,64.13427734375,81.827026367188,
paschalis,32,67.650085449219,85.009490966797,
paschalis,31,24.522521972656,149.94549560547,
paschalis,32,134.74948120117,71.201171875,
paschalis,32,87.0703125,99.60530090332,
maria,170,76.747680664062,98.033935546875,
maria,193,37.361846923828,43.441925048828,
maria,195,158.36883544922,223.53948974609,
maria,170,81.318572998047,104.44476318359,
maria,195,198.18643188477,168.78744506836,
maria,170,61.578430175781,74.137008666992,
maria,195,228.50625610352,183.01647949219,
maria,170,67.155090332031,75.86848449707,
maria,195,333.89874267578,92.539733886719,
maria,170,75.924285888672,95.918807983398,
martin,195,241.1042175293,240.576171875,
martin,170,88.346038818359,128.55735778809,
martin,195,252.68414306641,196.4841003418,
pmpeis,44,733.26,883.534,
pmpeis,47,733.26,883.534,
pmpeis,57,129.872,655.102,
athina,122,113.02096557617,98.759796142578,
dzeina,2,692.866,56.355,
dzeina,2,860.41,926.738,
dzeina,44,728.576,233.445,
dzeina,47,900.283,247.419,
dzeina,57,452.488,46.995,
